Episode	Accumulated Reward	Average Reward	Length	Steps
408	-20	-1.0	20	12394
409	-32	-1.0	32	12426
410	-18	-1.0	18	12444
411	-20	-1.0	20	12464
412	-23	-1.0	23	12487
413	-23	-1.0	23	12510
414	-18	-1.0	18	12528
415	-24	-1.0	24	12552
416	-20	-1.0	20	12572
417	-20	-1.0	20	12592
418	-20	-1.0	20	12612
419	-18	-1.0	18	12630
420	-19	-1.0	19	12649
421	-18	-1.0	18	12667
422	-120	-5.714285714285714	21	12688
423	-22	-1.0	22	12710
424	-18	-1.0	18	12728
425	-18	-1.0	18	12746
426	-22	-1.0	22	12768
427	-18	-1.0	18	12786
428	-18	-1.0	18	12804
429	-18	-1.0	18	12822
430	-30	-1.0	30	12852
431	-22	-1.0	22	12874
432	-23	-1.0	23	12897
433	-18	-1.0	18	12915
434	-20	-1.0	20	12935
435	-20	-1.0	20	12955
436	-20	-1.0	20	12975
437	-18	-1.0	18	12993
438	-19	-1.0	19	13012
439	-18	-1.0	18	13030
440	-18	-1.0	18	13048
441	-18	-1.0	18	13066
442	-18	-1.0	18	13084
443	-18	-1.0	18	13102
444	-21	-1.0	21	13123
445	-22	-1.0	22	13145
446	-26	-1.0	26	13171
447	-18	-1.0	18	13189
448	-24	-1.0	24	13213
449	-18	-1.0	18	13231
450	-20	-1.0	20	13251
451	-22	-1.0	22	13273
452	-26	-1.0	26	13299
453	-18	-1.0	18	13317
454	-20	-1.0	20	13337
455	-26	-1.0	26	13363
456	-119	-5.95	20	13383
457	-21	-1.0	21	13404
458	-152	-2.8679245283018866	53	13457
459	-36	-1.0	36	13493
460	-26	-1.0	26	13519
461	-20	-1.0	20	13539
462	-24	-1.0	24	13563
463	-22	-1.0	22	13585
464	-18	-1.0	18	13603
465	-19	-1.0	19	13622
466	-21	-1.0	21	13643
467	-21	-1.0	21	13664
468	-20	-1.0	20	13684
469	-20	-1.0	20	13704
470	-18	-1.0	18	13722
471	-26	-1.0	26	13748
472	-19	-1.0	19	13767
473	-20	-1.0	20	13787
474	-22	-1.0	22	13809
475	-18	-1.0	18	13827
476	-18	-1.0	18	13845
477	-19	-1.0	19	13864
478	-18	-1.0	18	13882
479	-18	-1.0	18	13900
480	-18	-1.0	18	13918
481	-24	-1.0	24	13942
482	-120	-5.714285714285714	21	13963
483	-22	-1.0	22	13985
484	-24	-1.0	24	14009
485	-19	-1.0	19	14028
486	-18	-1.0	18	14046
487	-19	-1.0	19	14065
488	-20	-1.0	20	14085
489	-20	-1.0	20	14105
490	-25	-1.0	25	14130
491	-18	-1.0	18	14148
492	-22	-1.0	22	14170
493	-20	-1.0	20	14190
494	-119	-5.95	20	14210
495	-18	-1.0	18	14228
496	-19	-1.0	19	14247
497	-24	-1.0	24	14271
498	-19	-1.0	19	14290
499	-19	-1.0	19	14309
